RecordId,Predicted_Probability
300001,0.0007102536
300002,0.0004152867
300003,9.087654e-05
300004,0.0007750043
300005,0.000112089816
300006,9.087654e-05
300007,9.435989e-05
300008,0.0008927214
300009,0.0002977188
300010,0.011784587
300011,9.087654e-05
300012,9.087654e-05
300013,9.087654e-05
300014,9.3024144e-05
300015,9.3024144e-05
300016,0.00014595802
300017,0.0041125454
300018,0.0031148233
300019,9.087654e-05
300020,9.087654e-05
300021,0.00023537585
300022,9.087654e-05
300023,0.000112089816
300024,0.000112089816
300025,0.011167731
300026,0.00014595802
300027,0.0026235
300028,0.0181983
300029,0.060718026
300030,9.087654e-05
300031,0.00049662235
300032,9.087654e-05
300033,0.00014595802
300034,9.087654e-05
300035,0.0002497242
300036,0.0008845663
300037,9.087654e-05
300038,0.00016899176
300039,0.0024957268
300040,0.00027084947
300041,0.0038160977
300042,9.087654e-05
300043,0.000507444
300044,0.000112089816
300045,0.000112089816
300046,0.000112089816
300047,0.000112089816
300048,9.087654e-05
300049,0.006011594
300050,0.0013103137
300051,9.087654e-05
300052,0.005029874
300053,0.0013206587
300054,9.087654e-05
300055,0.000112089816
300056,9.087654e-05
300057,9.087654e-05
300058,0.0037429235
300059,0.0035908993
300060,9.087654e-05
300061,9.3024144e-05
300062,9.3024144e-05
300063,9.3024144e-05
300064,9.087654e-05
300065,0.011519736
300066,9.087654e-05
300067,9.3024144e-05
300068,0.00024090504
300069,9.087654e-05
300070,9.087654e-05
300071,0.00012910101
300072,9.3024144e-05
300073,9.087654e-05
300074,0.012862112
300075,9.087654e-05
300076,9.087654e-05
300077,9.087654e-05
300078,0.000112089816
300079,0.001438047
300080,9.3024144e-05
300081,9.087654e-05
300082,9.087654e-05
300083,0.0020700395
300084,0.0167403
300085,9.087654e-05
300086,9.087654e-05
300087,0.00014595802
300088,0.000112089816
300089,9.087654e-05
300090,9.087654e-05
300091,9.087654e-05
300092,9.087654e-05
300093,0.018264266
300094,0.0008227606
300095,9.3024144e-05
300096,9.3024144e-05
300097,0.003430724
300098,0.011627606
300099,0.016943324
300100,0.0015747314
300101,9.087654e-05
300102,0.0006156963
300103,0.063063115
300104,0.00768704
300105,0.0014471089
300106,9.087654e-05
300107,9.087654e-05
300108,0.0008342953
300109,9.087654e-05
300110,9.087654e-05
300111,0.00030309937
300112,9.087654e-05
300113,0.00014595802
300114,0.000112089816
300115,0.011979427
300116,0.015432927
300117,9.087654e-05
300118,9.087654e-05
300119,9.087654e-05
300120,0.0017153346
300121,9.087654e-05
300122,9.087654e-05
300123,9.3024144e-05
300124,0.0005855126
300125,9.3024144e-05
300126,0.0006530104
300127,9.087654e-05
300128,0.000112089816
300129,0.0009277089
300130,0.00046414754
300131,9.087654e-05
300132,9.3024144e-05
300133,0.002278488
300134,0.003365093
300135,0.0009916839
300136,9.3024144e-05
300137,0.00014595802
300138,0.01497371
300139,9.087654e-05
300140,9.087654e-05
300141,0.01395634
300142,0.014044262
300143,0.00044533724
300144,9.3024144e-05
