row ID,price_doc
Row3,12135272.773559334
Row6,5014156.5119373975
Row11,5112641.49643251
Row12,5835792.815131695
Row14,4940681.263871693
Row17,5824417.516419787
Row19,5828056.322845734
Row23,5035849.043496884
Row29,6428262.055310145
Row33,5031430.450973103
Row34,58514830.87886039
Row36,4649358.618727202
Row39,51390922.06797811
Row42,62698627.18768824
Row48,5502279.653734911
Row51,4461324.202798311
Row52,5953904.387815771
Row55,5823766.324379945
Row62,6286982.224198129
Row63,5952716.17961029
Row71,6855438.10261424
Row73,5527621.313861291
Row75,5123063.847399362
Row78,7304358.226567292
Row79,21708669.06697174
Row80,5692839.037278117
Row81,6877072.488921006
Row83,9906398.71597122
Row84,7916153.094450098
Row88,6568079.475373307
Row92,5948828.829840222
Row93,9512932.040527105
Row96,4842340.277655873
Row97,5204401.893459856
Row99,9712873.941967143
Row100,5453498.34753178
Row102,5307174.550140781
Row104,4920915.415552625
Row105,4983323.825980018
Row109,13124844.38533812
Row113,6230788.215533998
Row115,6157084.023097902
Row117,7173014.889729196
Row120,6678186.38813783
Row126,7236950.970563795
Row127,5674990.463333846
Row128,6014812.1351544205
Row129,7285021.221910239
Row130,4751714.839667258
Row132,6194054.274963431
Row133,7298089.022714978
Row141,5399901.686784639
Row144,4180616.8003104846
Row146,9092316.989405742
Row150,4325254.849824321
Row152,57256017.67752267
Row156,6346951.60863694
Row157,8200220.191332411
Row158,7991840.43271006
Row159,4779645.187450706
Row171,60932884.72529721
Row178,14117198.66789002
Row180,11323563.609144783
Row182,57135197.32012394
Row186,4503158.108109356
Row191,5525630.713957296
Row193,5502386.284435308
Row199,22057597.580136344
Row200,6716090.350885456
Row201,3774383.5017344253
Row203,12913678.874788146
Row208,8474160.151009997
Row210,6080745.444163751
Row212,6028285.60870112
Row222,10909309.407203065
Row223,3950411.72809738
Row227,4720279.300298942
Row237,6354130.847149665
Row242,3752939.1845826046
Row244,5567864.64530433
Row245,15689543.01549139
Row248,8763765.464571971
Row251,14337092.290007446
Row259,5454892.096408136
Row261,5229365.507114129
Row265,6245044.118220642
Row280,11127666.142195815
