row ID,price_doc
Row3,13026656.0
Row6,6509940.0
Row11,5170559.0
Row12,5048553.0
Row14,6402466.0
Row17,7343382.0
Row19,6316096.0
Row23,5121766.0
Row29,5824031.0
Row33,5370124.0
Row34,55593690.0
Row36,5973091.0
Row39,53040052.0
Row42,53334436.0
Row48,5953141.0
Row51,4894331.0
Row52,5955281.0
Row55,5951462.0
Row62,5949328.0
Row63,5436119.0
Row71,7297084.5
Row73,5540230.0
Row75,6057852.0
Row78,6010977.0
Row79,21722530.0
Row80,6777171.5
Row81,5053166.0
Row83,7208764.5
Row84,6789851.0
Row88,7494237.5
Row92,7205575.0
Row93,9005713.0
Row96,5126475.0
Row97,5640072.0
Row99,9114301.0
Row100,6201747.0
Row102,5732501.0
Row104,5563836.0
Row105,5228938.0
Row109,9780547.0
Row113,7046807.5
Row115,5350905.0
Row117,5516948.0
Row120,6610497.5
Row126,7121642.5
Row127,6152164.0
Row128,8147416.5
Row129,7434904.5
Row130,5464326.0
Row132,7383184.5
Row133,8107132.0
Row141,6048537.0
Row144,4796927.0
Row146,14500690.0
Row150,5502179.0
Row152,53772470.0
Row156,8049063.5
Row157,7451112.0
Row158,9638496.0
Row159,4680615.0
Row171,56982640.0
Row178,12349212.0
Row180,9744827.0
Row182,56112456.0
Row186,5786862.0
Row191,6211026.0
Row193,5445796.0
Row199,17897976.0
Row200,7019427.0
Row201,4648005.0
Row203,11499107.0
Row208,7031163.0
Row210,8539619.0
Row212,6622776.0
Row222,13389748.0
Row223,5389569.0
Row227,4106267.0
Row237,7361150.5
Row242,4584885.0
Row244,5283702.0
Row245,16332909.0
Row248,8976738.0
Row251,16311598.0
Row259,5370870.0
Row261,6251720.0
Row265,6235249.0
Row280,9245546.0
Row286,6958157.5
Row293,12742250.0
Row295,6568233.5
Row298,8023711.5
Row299,6428989.0
Row308,11955770.0
Row309,56422412.0
Row313,1341386.0
Row316,8142584.5
Row333,55429996.0
Row335,6363090.0
Row336,6308677.0
Row342,5796563.0
Row356,7945262.5
Row358,56943864.0
Row364,8357537.5
Row365,10616929.0
Row373,6659592.0
Row382,5917290.0
Row385,4915957.0
Row386,5599737.0
Row394,9457294.0
Row396,8927439.0
Row399,9369227.0
Row401,55955868.0
Row402,54933572.0
Row406,8307478.5
Row407,5351035.0
Row412,9821994.0
Row415,4847807.0
Row416,3982329.0
Row417,5771641.0
Row418,9993179.0
Row420,55697852.0
Row424,10559868.0
Row425,55094070.0
Row428,55762180.0
Row429,7063882.0
Row431,55613184.0
Row434,11876680.0
Row436,5987659.0
Row441,27604430.0
