row ID,price_doc
Row3,14255901.201799631
Row6,5875757.688227385
Row11,5362458.33194488
Row12,6078505.149581902
Row14,5704894.04058625
Row17,5764436.594565907
Row19,5959816.723966102
Row23,5276655.881969223
Row29,5593242.71415288
Row33,5380611.021070233
Row34,52195901.134769864
Row36,5510422.277926144
Row39,55915487.920578964
Row42,47082838.867864676
Row48,5276058.755546114
Row51,5558708.182361847
Row52,6215469.525552942
Row55,5605039.860178747
Row62,6199015.742426359
Row63,5765347.652320254
Row71,7904141.279232826
Row73,5587719.251386008
Row75,6077879.92501309
Row78,7231384.168259591
Row79,16983963.014828112
Row80,6046611.35390318
Row81,6721530.018887352
Row83,10754844.478774875
Row84,7807245.348433939
Row88,6166677.643132535
Row92,5841389.966333343
Row93,9158177.034652427
Row96,5651209.070015213
Row97,5453057.699221535
Row99,9832122.938424615
Row100,5721920.442836948
Row102,5922888.289600075
Row104,5732573.68106285
Row105,5441578.471395699
Row109,11816079.990639621
Row113,6726296.949424809
Row115,6205492.27370021
Row117,6994588.347885233
Row120,6689663.934450206
Row126,6928398.246194683
Row127,5663264.563169171
Row128,8590044.845860446
Row129,7456352.3229659675
Row130,5500313.729177948
Row132,6271522.941820855
Row133,6285375.950278022
Row141,5471330.461320576
Row144,5272332.762334416
Row146,12421648.600843461
Row150,5190537.440815635
Row152,49215746.628805324
Row156,6713622.03955686
Row157,7787700.522554107
Row158,8958455.570907122
Row159,5072916.083805118
Row171,57062075.738891855
Row178,12618358.282434998
Row180,11890278.315349147
Row182,58930069.70837078
Row186,5246110.819455399
Row191,5913325.360271217
Row193,5691831.378132535
Row199,17898651.87001084
Row200,6618854.355612201
Row201,5361347.603261459
Row203,13621035.191203006
Row208,9136064.092836183
Row210,6244467.6217628345
Row212,6210830.90362884
Row222,13308673.037424436
Row223,5336079.146112187
Row227,4781935.055064796
Row237,5931298.978030629
Row242,5055789.486656504
Row244,5227789.883558765
Row245,14292378.377959384
Row248,9524388.590087114
Row251,13508599.844223429
Row259,4828656.297818621
Row261,6077035.99302374
Row265,5909004.071653932
Row280,10389439.365063818
Row286,7502776.440004488
Row293,13042306.714243928
Row295,6096391.509364406
Row298,6304699.4305689195
Row299,5811067.380251677
Row308,13483200.390043687
